KAM,Nº DO PEDIDO,CLIENTE,DATA RECEBIMENTO SM,DATA RECEBIMENTO OFICIAL (PEDIDO COMPLETO),DATA APROVAÇÃO NO TOTVS,DATA ENVIO PARA O PD,PENDÊNCIAS (MOTIVO)
Kelly Li,LIVDJOI1902724,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,19/2/2026,24/2/2026,24/2/2026,
Kelly Li,LIVDJOI1712102,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,17/12/2025,,,
Kelly Li,LIVDJOI0902160,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,9/2/2026,,3/3/2026,
Beatriz Sales,LIVMGRE0001381,GREENV MOBILIDADE ELETRICA BRASIL S.A,,11/5/2026,20/5/2026,20/5/2026,Pedido refeito várias vezes
Beatriz Sales,1350674762,Robson Beretta Beltrame,,14/5/2026,20/5/2026,20/5/2026,Pedido refeito várias vezes
Wilton Moura,LIVPPAL0302248,PALHETA ENGENHARIA LTDA,,3/2/2026,,3/2/2026,
Samir Sarquis,LIVHBIO0302070,BIOMOTORS S.R.L,,,,,
Kelly Li,LIVDJOI0602067,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,27/2/2026,5/3/2026,3/3/2026,
Kelly Li,LIVDMAT0202676,MATRIZ SOLAR ENGENHARIA LTDA,,,,,
Leonardo Dib,LIVDNEO1202902,NEOSOLAR ENERGIA LTDA,,12/2/2026,23/2/2026,19/2/2026,
Samir Sarquis,LIVPMER1002855,MERCANTIL LEÓN,,,,13/2/2026,
Mateus Armado,LIVDMAX1902296,"""MAXSUL
  DISTRIBUIDORA DE COMBUSTIVEIS LTDA""",,19/2/2026,,24/3/2026,
Anna Julia Junkes,LIVMZUU0701285,ZUUZ - MOBILIDADE ELETRICA LTDA,,4/5/2026,12/5/2026,12/5/2026,
Leonardo Dib,LIVDSOL0701305,SOL COPERNICO DISTRIBUIDORA LTDA,,7/5/2026,,,
Anna Julia Junkes,LIVMHDT0701317,HDT ENERGY IMPORTAÇÃO E EXPORTAÇÃO LTDA,,5/5/2026,,,Pedido em aberto. Não foi enviado para faturamento
Leonardo Dib,LIVDNEO0701328,NEOSOLAR ENERGIA LTDA,,6/5/2026,,,
Leonardo Dib,LIVDFOR0701184,FORTLEV ENERGIA SOLAR LTDA,,26/3/2026,,,
Leonardo Dib,LIVDFOR0701155,FORTLEV ENERGIA SOLAR LTDA,,17/3/2026,,25/3/2026,
Kelly Li,LIVDP.O0701214,P. O SOLAR ENERGY LTDA,,5/3/2026,,2/4/2026,
Kelly Li,LIVDJOI0701227,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,13/4/2026,22/4/2026,20/4/2026,
Kelly Li,LIVDMIN0701269,MINHA CASA SOLAR,,15/4/2026,29/4/2026,28/4/2026,
